,Name,Sentiment Score,Audience Score,Rotten Score,a_r_difference,s_r_difference,s_a_difference
0,Spy Kids,0,0,0,0,0,0
1,"Monsters, Inc. (franchise)",0,0,0,0,0,0
2,Shrek (franchise),0,0,0,0,0,0
3,The Lord of the Rings (film series),0,0,0,0,0,0
4,Ocean's (film series),0,0,0,0,0,0
5,Monsoon Wedding,78,87,95,8,17,9
6,Amélie,0,0,0,0,0,0
7,Spirited Away,88,96,97,1,9,8
8,Harry Potter and the Philosopher's Stone,0,0,0,0,0,0
9,The Lord of the Rings: The Fellowship of the Ring,82,95,91,4,9,13
10,"Monsters, Inc.",94,90,96,6,2,4
11,Shrek,85,90,88,2,3,5
12,Ocean's Eleven,98,80,83,3,15,18
13,Pearl Harbor,0,0,0,0,0,0
14,The Mummy Returns,0,0,0,0,0,0
15,Jurassic Park III,76,36,48,12,28,40
16,Planet of the Apes,0,0,0,0,0,0
17,Hannibal,0,0,0,0,0,0
18,The Fast and the Furious,0,0,0,0,0,0
19,A Beautiful Mind,76,93,74,19,2,17
20,Gosford Park,85,78,87,9,2,7
21,The Royal Tenenbaums,76,89,81,8,5,13
22,Training Day,64,89,73,16,9,25
23,In the Bedroom,61,81,93,12,32,20
24,Iris,0,0,0,0,0,0
25,Monster's Ball,67,67,85,18,18,0
26,Sexy Beast,65,85,87,2,22,20
27,Memento,77,94,93,1,16,17
28,No Man's Land,48,71,38,33,10,23
29,Antitrust,73,50,24,26,49,23
30,Double Take,0,0,0,0,0,0
31,Save the Last Dance,78,59,53,6,25,19
32,The Amati Girls,0,0,0,0,0,0
33,The Pledge,0,0,0,0,0,0
34,L.I.E.,0,0,0,0,0,0
35,The Wedding Planner,0,0,0,0,0,0
36,Head over Heels,0,0,0,0,0,0
37,The Invisible Circus,0,0,0,0,0,0
38,The Million Dollar Hotel,0,0,0,0,0,0
39,Valentine,50,33,12,21,38,17
40,Saving Silverman,62,51,19,32,43,11
41,These Old Broads,0,0,0,0,0,0
42,Down to Earth,0,0,0,0,0,0
43,Recess: School's Out,84,56,60,4,24,28
44,Revolution OS,64,77,43,34,21,13
45,Sweet November,0,0,0,0,0,0
46,3000 Miles to Graceland,44,46,14,32,30,2
47,Monkeybone,42,27,19,8,23,15
48,The Caveman's Valentine,0,0,0,0,0,0
49,The Mexican,0,0,0,0,0,0
50,See Spot Run,50,44,23,21,27,6
51,15 Minutes,46,37,32,5,14,9
52,Get Over It,53,51,43,8,10,2
53,The Dish,93,81,96,15,3,12
54,Elling,89,91,85,6,4,2
55,Enemy at the Gates,52,82,53,29,1,30
56,Exit Wounds,51,45,33,12,18,6
57,The Brothers,0,0,0,0,0,0
58,Heartbreakers,71,57,100,43,29,14
59,Say It Isn't So,63,31,8,23,55,32
60,Someone like You,0,0,0,0,0,0
61,The Tailor of Panama,0,0,0,0,0,0
62,Tomcats,50,42,14,28,36,8
63,Yamakasi,0,0,0,0,0,0
64,Along Came a Spider,66,53,32,21,34,13
65,Blow,45,87,55,32,10,42
66,Just Visiting,75,53,33,20,42,22
67,Pokémon 3: The Movie,0,0,0,0,0,0
68,Joe Dirt,51,63,9,54,42,12
69,Josie and the Pussycats,72,52,52,0,20,20
70,Kingdom Come,0,0,0,0,0,0
71,The Center of the World,0,0,0,0,0,0
72,Crocodile Dundee in Los Angeles,64,25,11,14,53,39
73,Freddy Got Fingered,44,56,11,45,33,12
74,The Body,0,0,0,0,0,0
75,"Harry, He's Here to Help",0,0,0,0,0,0
76,Driven,69,65,71,6,2,4
77,The Forsaken,0,0,0,0,0,0
78,The Golden Bowl,0,0,0,0,0,0
79,One Night at McCool's,39,39,33,6,6,0
80,Mockingbird Don't Sing,0,0,0,0,0,0
81,The King Is Alive,62,58,60,2,2,4
82,A Knight's Tale,0,0,0,0,0,0
83,About Adam,83,47,68,21,15,36
84,Angel Eyes,0,0,0,0,0,0
85,The Man Who Cried,27,58,35,23,8,31
86,The Animal,0,0,0,0,0,0
