,0
0,Anaconda
1,Psycho
2,Exodus
3,Swiss Family Robinson
4,The Alamo
5,The World of Suzie Wong
6,BUtterfield 8
7,The Apartment
8,Ocean's 11
9,From the Terrace
10,G.I. Blues
11,West Side Story
12,Saturday Night and Sunday Morning
13,The Misfits
14,When a Woman Ascends the Stairs
15,Mrs. Warren's Profession
16,The Immoral Mr. Teas
17,Cash McCall
18,The Lady with the Dog
19,Hell Bent for Leather
20,The Rise and Fall of Legs Diamond
21,Visit to a Small Planet
22,La Dolce Vita
23,Devi
24,The Last Voyage
25,The Bramble Bush
26,Kidnapped
27,The Battle of the Sexes
28,Cleopatra's Daughter
29,The Hypnotic Eye
30,Comanche Station
31,Heller in Pink Tights
32,Eyes Without a Face
33,Home from the Hill
34,Never Take Sweets from a Stranger
35,The 3rd Voice
36,Purple Noon
37,Seven Thieves
38,Five Branded Women
39,The Angry Silence
40,Breathless
41,The Hole
42,Please Don't Eat the Daisies
43,Twelve Hours to Kill
44,The League of Gentlemen
45,Tall Story
46,The Unforgiven
47,The Secret of the Telegian
48,Hell Is a City
49,Obaltan
50,The Fugitive Kind
51,The Ninth Circle
52,The Demon of Mount Oe
53,Peeping Tom
54,The Challenge
55,Crack in the Mirror
56,Pollyanna
57,Faust
58,Wild River
59,Cruel Story of Youth
60,Never Let Go
61,Macario
62,The Story of Ruth
63,A Terrible Beauty
64,The Gallant Hours
65,House of Usher
66,Bells Are Ringing
67,The Party Is Over
68,Portrait in Black
69,"Murder, Inc."
70,L'Avventura
71,Strangers When We Meet
72,The Brides of Dracula
73,Elmer Gantry
74,Inherit the Wind
75,13 Ghosts
76,The Rat Race
77,The Lost World
78,Knights of the Teutonic Order
79,The Bellboy
80,The Entertainer
81,Jigoku
82,Last Woman on Earth
83,Parakh
84,It Started in Naples
85,Make Mine Mink
86,Jungle Cat
87,Black Sunday
88,Song Without End
89,Alakazam the Great
90,The Enchanting Shadow
91,The Time Machine
92,College Confidential
93,Rocco and His Brothers
94,Let's Make Love
95,September Storm
96,The Little Shop of Horrors
97,Under Ten Flags
98,High Time
99,The Bad Sleep Well
100,Sunrise at Campobello
101,Kapo
102,Surprise Package
103,Hell to Eternity
104,Never on Sunday
105,A False Student
106,Night and Fog in Japan
107,The Magnificent Seven
108,Midnight Lace
109,The Devil's Eye
110,The Millionairess
111,Everybody Go Home
112,Zazie dans le Métro
113,Man in the Moon
114,Her Brother
115,Ten Who Dared
116,El Cochecito
117,Five Cartridges
118,The Housemaid
119,Late Autumn
120,North to Alaska
121,The Facts of Life
122,Fortunat
123,Cinderfella
124,The Naked Island
125,"Minotaur, the Wild Beast of Crete"
126,Cimarron
127,Village of the Damned
128,The Sundowners
129,Barsaat Ki Raat
130,The Human Vapor
131,The River of Love
132,Esther and the King
133,The 3 Worlds of Gulliver
134,Flaming Star
135,Pepe
136,Tunes of Glory
137,The Wackiest Ship in the Army
138,The Grass Is Greener
139,Where the Boys Are
140,The Last Witness
141,Ali Baba Bujang Lapok
142,Anuradha
143,Bad Luck
144,Because They're Young
145,Beat Girl
146,Beyond the Time Barrier
147,Les Bonnes Femmes
